0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:18:50 +0800] "GET /tlweb/pic/1.jpg HTTP/1.1" 200 68333
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:18:50 +0800] "GET /tlweb/pic/2.jpg HTTP/1.1" 200 124776
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:18:50 +0800] "GET /tlweb/Css/pic/indexs.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:18:50 +0800] "GET /tlweb/Css/pic/indexbg.png HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:18:50 +0800] "GET /tlweb/pic/logo.png HTTP/1.1" 200 747520
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:18:51 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:18:53 +0800] "GET /tlweb/Login.jsp HTTP/1.1" 200 3693
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:18:53 +0800] "GET /tlweb/pic/indexbg.png HTTP/1.1" 200 19572
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:18:53 +0800] "GET /tlweb/pic/indexs.png HTTP/1.1" 200 24109
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:19:00 +0800] "GET /tlweb/AjaxJs/CheckLogin.jsp?user=18026753608&passw=325809674&datetime=1499228340684 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:19:00 +0800] "GET /tlweb/CustomCtrl.jsp?uid=18026753608&datetime=1499228340708 HTTP/1.1" 200 5006
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:19:00 +0800] "GET /tlweb/AjaxJs/ReturnService.jsp?service=%E4%BA%A7%E5%93%81%E6%B3%A8%E5%86%8C&datetime=1499228340770 HTTP/1.1" 200 1038
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:19:01 +0800] "GET /tlweb/AjaxJs/ReturnService.jsp?service=%22%E7%BB%B4%E4%BF%AE%E7%94%B3%E8%AF%B7%22&datetime=1499228341839 HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:19:08 +0800] "GET /tlweb/AjaxJs/ReturnService.jsp?service=%22%E5%94%AE%E5%90%8E%E7%94%B3%E8%AF%B7%22&datetime=1499228348495 HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:19:09 +0800] "GET /tlweb/AjaxJs/ReturnService.jsp?service=%22%E4%BA%A7%E5%93%81%E6%B3%A8%E5%86%8C%22&datetime=1499228349439 HTTP/1.1" 200 1038
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:19:11 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:19:17 +0800] "GET /tlweb/AjaxJs/ReturnService.jsp?service=%22%E5%94%AE%E5%90%8E%E7%94%B3%E8%AF%B7%22&datetime=1499228357471 HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:19:18 +0800] "GET /tlweb/AjaxJs/ReturnService.jsp?service=%22%E7%BB%B4%E4%BF%AE%E7%94%B3%E8%AF%B7%22&datetime=1499228358071 HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:19:18 +0800] "GET /tlweb/AjaxJs/ReturnService.jsp?service=%22%E5%94%AE%E5%90%8E%E7%94%B3%E8%AF%B7%22&datetime=1499228358567 HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:19:19 +0800] "GET /tlweb/AjaxJs/ReturnService.jsp?service=%22%E7%BB%B4%E4%BF%AE%E7%94%B3%E8%AF%B7%22&datetime=1499228359303 HTTP/1.1" 200 114
